Argentina	24	28.4	57.4	7	690	15	8	11	17	0	6	3	95	115	23	5	2	1	357	83	90
Australia	20	28.7	37.8	4	360	3	3	3	7	0	12	2	26	34	1	0	0	0	200	72	72
Belgium	20	30.6	57	3	270	1	1	1	5	0	8	2	35	35	3	0	1	0	132	33	28
Brazil	26	28.5	56.2	5	480	8	6	7	6	0	7	2	95	74	8	1	0	0	271	43	56
Cameroon	22	28	41.7	3	270	4	4	4	8	1	11	1	28	38	2	0	0	0	142	42	36
Canada	19	28.2	52	3	270	1	1	1	8	0	8	0	34	37	8	0	0	0	145	30	21
CostaRica	22	30.6	31.3	3	270	3	1	3	6	0	11	1	12	37	13	0	1	0	142	38	30
Croatia	21	29.2	54.3	7	690	8	8	8	8	0	24	2	79	90	11	0	1	0	409	87	87
Denmark	20	27.5	60	3	270	1	1	1	5	0	8	1	34	23	5	0	0	0	171	51	48
Ecuador	18	25.8	53.3	3	270	4	2	3	3	0	1	1	29	37	8	1	1	0	135	50	49
England	20	27	62.8	5	450	13	11	12	1	0	7	3	61	65	5	2	1	0	227	60	66
France	24	27.2	51.3	7	660	16	12	14	8	0	19	1	100	85	16	1	4	0	364	106	78
Germany	20	28.1	59.3	3	270	6	5	5	3	0	8	0	68	27	12	1	0	0	164	36	33
Ghana	20	26.4	42	3	270	5	2	5	8	0	10	0	25	38	4	1	1	0	146	36	62
Iran	21	29.3	36.7	3	270	4	2	3	7	0	8	1	32	26	6	1	0	0	178	43	49
Japan	22	28.8	35.8	4	390	5	4	5	6	0	15	0	44	36	9	0	1	0	220	59	76
KoreaRepublic	21	29	48.3	4	360	5	3	5	6	0	11	1	50	34	7	0	1	0	175	72	59
Mexico	21	29	54	3	270	2	1	2	7	0	2	1	41	48	13	0	1	0	151	48	51
Morocco	25	27.2	39	7	660	6	4	6	9	1	10	4	61	81	19	0	0	1	369	70	85
Netherlands	21	27.6	53	5	480	10	8	10	12	1	18	2	42	50	8	0	1	0	241	79	70
Poland	21	28.7	37.3	4	360	3	1	2	7	0	21	2	29	47	1	1	2	0	164	51	60
Portugal	24	27.8	60.4	5	450	12	10	10	6	0	11	1	64	65	14	1	0	0	256	66	53
Qatar	20	29	43	3	270	1	1	1	7	0	5	0	20	45	7	0	1	0	138	36	38
SaudiArabia	23	28.1	44.7	3	270	3	2	3	14	0	14	0	28	38	3	1	1	0	132	45	49
Senegal	20	27.7	44.8	4	360	5	2	4	7	0	7	0	51	57	8	1	0	0	192	72	63
Serbia	22	27.4	51.3	3	270	5	4	5	12	0	16	0	32	28	4	0	0	0	161	43	38
Spain	21	26.4	75.8	4	390	9	5	8	2	0	6	2	48	46	11	1	0	0	225	41	39
Switzerland	24	28.5	49	4	360	5	4	5	9	0	14	1	37	49	6	0	0	0	190	45	49
Tunisia	21	27.7	44.3	3	270	1	1	1	5	0	9	2	32	28	7	0	0	0	170	48	57
UnitedStates	20	25.4	53	4	360	3	3	3	5	0	8	2	45	40	5	0	1	0	212	53	53
Uruguay	19	28.5	48.7	3	270	2	1	2	8	0	4	2	33	36	3	0	2	0	166	53	47
Wales	18	27.7	46.7	3	270	1	0	0	5	1	8	0	23	33	4	1	0	0	147	42	41
